2007;2008;2009;2010;2011;2012;2013
Gamle Oslo;328000;316000;319000;328000;343000;358000;375000
Grünerløkka;343000;331000;331000;338000;353000;368000;383000
Sagene;353000;341000;346000;355000;372000;388000;404000
St. Hanshaugen;397000;379000;371000;375000;391000;404000;418000
Frogner;505000;490000;463000;517000;511000;529000;547000
Ullern;576000;569000;543000;573000;595000;616000;637000
Vestre Aker;610000;599000;571000;615000;642000;654000;679000
Nordre Aker;442000;431000;430000;447000;469000;498000;515000
Bjerke;338000;329000;330000;337000;349000;368000;378000
Grorud;307000;300000;302000;310000;321000;334000;341000
Stovner;314000;307000;307000;314000;324000;338000;345000
Alna;317000;310000;312000;317000;331000;341000;352000
Østensjø;359000;355000;357000;370000;386000;404000;419000
Nordstrand;450000;447000;436000;458000;479000;503000;519000
SøndreNordstrand;320000;311000;312000;321000;333000;343000;354000
Sentrum;315000;304000;286000;270000;251000;238000;260000
