"x" "F"
"1" -2 1.09999999999832e-05
"2" -1.99 1.2000000000012e-05
"3" -1.98 1.39999999999585e-05
"4" -1.97 1.49999999999872e-05
"5" -1.96 1.70000000000448e-05
"6" -1.95 1.89999999999912e-05
"7" -1.94 2.10000000000488e-05
"8" -1.93 2.29999999999952e-05
"9" -1.92 2.59999999999705e-05
"10" -1.91 2.89999999999457e-05
"11" -1.9 3.2000000000032e-05
"12" -1.89 3.50000000000072e-05
"13" -1.88 3.90000000000112e-05
"14" -1.87 4.30000000000152e-05
"15" -1.86 4.8000000000048e-05
"16" -1.85 5.29999999999697e-05
"17" -1.84 5.90000000000312e-05
"18" -1.83 6.49999999999817e-05
"19" -1.82 7.10000000000433e-05
"20" -1.81 7.90000000000513e-05
"21" -1.8 8.69999999999482e-05
"22" -1.79 9.49999999999562e-05
"23" -1.78 0.000105000000000022
"24" -1.77 0.000114999999999976
"25" -1.76 0.000126999999999988
"26" -1.75 0.000139
"27" -1.74 0.000152000000000041
"28" -1.73 0.000167000000000028
"29" -1.72 0.000183000000000044
"30" -1.71 0.000199999999999978
"31" -1.7 0.000218999999999969
"32" -1.69 0.000238999999999989
"33" -1.68 0.000260999999999956
"34" -1.67 0.00028499999999998
"35" -1.66 0.00031099999999995
"36" -1.65 0.000337999999999949
"37" -1.64 0.000368999999999953
"38" -1.63 0.000400999999999985
"39" -1.62 0.000435999999999992
"40" -1.61 0.000473999999999974
"41" -1.6 0.000515000000000043
"42" -1.59 0.000558999999999976
"43" -1.58 0.000605999999999995
"44" -1.57 0.000657000000000019
"45" -1.56 0.000712000000000046
"46" -1.55 0.000770999999999966
"47" -1.54 0.000834000000000001
"48" -1.53 0.000901999999999958
"49" -1.52 0.000974999999999948
"50" -1.51 0.00105200000000005
"51" -1.5 0.00113600000000003
"52" -1.49 0.00122500000000003
"53" -1.48 0.00131999999999999
"54" -1.47 0.00142200000000003
"55" -1.46 0.00153099999999995
"56" -1.45 0.00164699999999995
"57" -1.44 0.00177099999999997
"58" -1.43 0.00190299999999999
"59" -1.42 0.00204300000000002
"60" -1.41 0.002193
"61" -1.4 0.00235200000000002
