"q" "x"
"1" 9.9999999999989e-05 -1.784955
"2" 0.001 -1.516664
"3" 0.002 -1.423026
"4" 0.003 -1.364637
"5" 0.004 -1.32137
"6" 0.005 -1.286659
"7" 0.00600000000000001 -1.257496
"8" 0.00700000000000001 -1.232241
"9" 0.00800000000000001 -1.209897
"10" 0.00900000000000001 -1.189813
"11" 0.01 -1.17153
"12" 0.02 -1.04303
"13" 0.03 -0.960057
"14" 0.04 -0.896904
"15" 0.05 -0.845081
"16" 0.0600000000000001 -0.800658
"17" 0.07 -0.761477
"18" 0.08 -0.726216
"19" 0.09 -0.694004
"20" 0.1 -0.664235
"21" 0.11 -0.636468
"22" 0.12 -0.610378
"23" 0.13 -0.585706
"24" 0.14 -0.562252
"25" 0.15 -0.539855
"26" 0.16 -0.518383
"27" 0.17 -0.497731
"28" 0.18 -0.477804
"29" 0.19 -0.458525
"30" 0.2 -0.439828
"31" 0.21 -0.421656
"32" 0.22 -0.403959
"33" 0.23 -0.386694
"34" 0.24 -0.369821
"35" 0.25 -0.353308
"36" 0.26 -0.337123
"37" 0.27 -0.321238
"38" 0.28 -0.305629
"39" 0.29 -0.290274
"40" 0.3 -0.275151
"41" 0.31 -0.260242
"42" 0.32 -0.24553
"43" 0.33 -0.230999
"44" 0.34 -0.216633
"45" 0.35 -0.202418
"46" 0.36 -0.188342
"47" 0.37 -0.174393
"48" 0.38 -0.16056
"49" 0.39 -0.146831
"50" 0.4 -0.133196
"51" 0.41 -0.119645
"52" 0.42 -0.106168
"53" 0.43 -0.092757
"54" 0.44 -0.079402
"55" 0.45 -0.066096
"56" 0.46 -0.05283
"57" 0.47 -0.039595
"58" 0.48 -0.026383
"59" 0.49 -0.013187
"60" 0.5 0
"61" 0.51 0.013187
"62" 0.52 0.026383
"63" 0.53 0.039595
"64" 0.54 0.05283
"65" 0.55 0.066096
"66" 0.56 0.079402
"67" 0.57 0.092757
"68" 0.58 0.106168
"69" 0.59 0.119645
"70" 0.6 0.133196
"71" 0.61 0.146831
"72" 0.62 0.16056
"73" 0.63 0.174393
"74" 0.64 0.188342
"75" 0.65 0.202418
"76" 0.66 0.216633
"77" 0.67 0.230999
"78" 0.68 0.24553
"79" 0.69 0.260242
"80" 0.7 0.275151
"81" 0.71 0.290274
"82" 0.72 0.305629
"83" 0.73 0.321238
"84" 0.74 0.337123
"85" 0.75 0.353308
"86" 0.76 0.369821
"87" 0.77 0.386694
"88" 0.78 0.403959
"89" 0.79 0.421656
"90" 0.8 0.439828
"91" 0.81 0.458525
"92" 0.82 0.477804
"93" 0.83 0.497731
"94" 0.84 0.518383
"95" 0.85 0.539855
"96" 0.86 0.562252
"97" 0.87 0.585706
"98" 0.88 0.610378
"99" 0.89 0.636468
"100" 0.9 0.664235
"101" 0.91 0.694004
"102" 0.92 0.726216
"103" 0.93 0.761477
"104" 0.94 0.800658
"105" 0.95 0.845081
"106" 0.96 0.896904
"107" 0.97 0.960057
"108" 0.98 1.04303
"109" 0.99 1.17153
"110" 0.991 1.189813
"111" 0.992 1.209897
"112" 0.993 1.232241
"113" 0.994 1.257496
"114" 0.995 1.286659
"115" 0.996 1.32137
"116" 0.997 1.364637
"117" 0.998 1.423026
"118" 0.999 1.516664
"119" 0.9999 1.784955
