Name,GP,GS,MP,G,S,SOT,A,YC,RC,FC,FS
R Lewandowski DOR,33,31,2801,20,118,64,7,3,0,66,91
M Mandzukic MUN,30,21,2019,18,77,51,4,5,0,48,38
J Drmic FCN,33,30,2662,17,71,37,3,2,0,57,23
R Firmino HOF,33,33,2916,16,88,42,11,5,0,61,55
A Ramos HB,32,30,2663,16,84,44,5,3,0,40,60
M Reus DOR,30,26,2216,16,111,54,13,6,0,38,53
Raffael BM,34,34,2994,15,74,32,7,1,0,21,35
S Okazaki MAI,33,31,2715,15,74,39,1,2,0,55,66
S Kießling LEV,32,30,2674,15,85,41,3,3,0,64,83
I Olic WOL,32,28,2401,14,81,37,5,2,0,34,19
P Aubameyang DOR,32,21,1954,13,67,39,4,1,0,24,20
P Lasogga HAM,20,18,1486,13,74,41,1,1,0,32,27
T Muller MUN,31,25,2167,13,68,35,10,2,0,27,24
M Kruse BM,34,34,3020,12,81,39,9,3,0,21,43
A Hahn AUG,32,30,2737,12,84,37,8,10,0,69,56
A Modeste HOF,29,20,1625,12,70,27,2,3,1,43,39
A Mehmedi FBG,32,29,2612,12,79,39,4,2,1,30,33
K Huntelaar SKE,18,17,1460,12,60,23,0,5,0,29,29
S Salihovic HOF,28,22,1820,11,67,36,5,3,1,29,36
K Volland HOF,33,32,2878,11,87,43,4,4,0,91,93
H Calhanoglu HAM,32,28,2443,11,90,40,4,2,1,30,55
A Robben MUN,28,20,1686,11,75,39,6,0,0,9,31
S Huszti HAN,30,30,2594,10,58,26,7,10,1,63,55
E Choupo-Moting MAI,32,19,2034,10,82,31,3,1,0,27,31
H Altintop AUG,34,34,2714,10,66,29,3,1,0,25,58
H Son LEV,31,29,2383,10,83,43,4,1,0,20,45
M Gotze MUN,27,20,1822,10,45,24,8,0,0,14,36
C Pizarro MUN,17,6,683,10,25,18,3,0,0,12,7
F Ribéry MUN,22,18,1637,10,61,29,10,2,0,19,50
M Harnik SGT,30,23,2032,10,43,21,2,6,0,37,36
V Ibisevic SGT,27,25,2160,10,56,24,3,4,1,42,43
I Perisic WOL,33,24,2199,10,68,30,4,4,0,26,16
N Muller MAI,26,22,2003,9,35,16,3,6,0,37,35
T Werner AUG,31,25,2098,9,62,17,7,4,0,33,21
D Kumbela BRA,30,20,1940,9,61,21,2,4,0,39,49
S Allagui HB,29,23,1980,9,42,17,2,4,0,43,33
H Mkhitaryan DOR,31,29,2450,9,70,30,9,6,0,49,42
Joselu EF,24,18,1662,9,68,34,1,3,0,39,29
J Farfán SKE,19,17,1521,9,30,14,5,2,0,20,24
J Arango BM,31,31,2606,8,76,32,5,2,0,16,40
M Diouf HAN,19,18,1466,8,59,27,3,2,1,32,35
A Meier EF,22,18,1648,8,56,18,2,1,0,33,14
S Sam LEV,22,16,1387,8,41,14,7,2,0,19,33
A Hunt BRE,31,31,2675,7,65,27,7,2,0,29,47
N Petersen BRE,28,19,1617,7,54,24,2,2,0,21,11
R Van der Vaart HAM,27,26,2188,7,61,35,6,4,0,38,42
A Szalai SKE,28,14,1388,7,41,22,0,2,0,39,20
A Maxim SGT,29,18,1682,7,31,16,10,3,0,23,30
M Arnold WOL,28,27,2249,7,54,20,2,3,1,61,69
P Herrmann BM,34,34,2705,6,49,20,8,2,0,36,33
