Name,GP,GS,MP,G,S,SOT,A,TKL,YC,RC,FC,FS
L Suárez LIV,33,33,2964,31,183,82,12,16,6,0,53,69
D Sturridge LIV,29,26,2275,22,97,44,7,2,2,0,10,37
Y Touré MCY,35,35,2927,20,65,27,9,12,4,0,39,25
S Agüero MCY,23,20,1539,17,86,43,6,6,4,0,17,21
W Rooney MAN,29,27,2448,17,100,43,10,7,8,0,31,28
W Bony SWA,34,27,2472,16,106,40,4,10,4,0,35,48
O Giroud ARS,36,36,3081,16,109,39,8,23,4,0,47,57
E Dzeko MCY,31,23,1991,16,105,39,1,12,4,0,28,27
R Lukaku,33,29,2602,15,101,45,7,6,1,0,23,12
J Rodríguez SHN,33,30,2567,15,100,34,3,22,2,0,28,31
E Hazard CHE,35,32,2895,14,73,36,7,6,2,0,17,87
L Remy NCU,26,24,2103,14,88,32,3,7,2,1,24,27
S Gerrard LIV,34,33,2900,13,59,31,14,24,7,0,36,22
R Lambert SHN,37,31,2816,13,104,42,10,9,2,0,38,18
R Van Persie MAN,21,18,1584,12,60,20,3,5,2,0,26,11
E Adebayor TOT,21,20,1808,11,44,24,4,13,0,0,26,13
A Ramsey ARS,23,20,1764,10,49,27,8,21,3,0,26,24
C Benteke AST,26,24,2128,10,69,28,2,8,4,0,47,43
S Eto'o CHE,21,16,1306,9,58,23,2,2,1,0,13,14
R Sterling LIV,33,24,2218,9,44,21,5,14,3,0,52,60
Á Negredo MCY,32,21,1725,9,65,26,3,7,1,0,22,16
D Welbeck MAN,25,15,1459,9,46,19,1,5,2,0,12,31
A Lallana SHN,38,37,3100,9,73,30,6,16,3,0,31,77
L Podolski ARS,20,14,1172,8,41,19,2,9,0,0,9,11
Oscar CHE,33,24,2143,8,71,23,2,18,4,0,32,25
A Schurrle CHE,30,15,1326,8,58,18,2,9,1,0,21,13
K Mirallas EVE,32,28,2330,8,78,25,8,11,6,0,31,34
A Johnson SUN,36,28,2446,8,56,17,5,5,2,0,18,31
J Mutch CC,35,26,2264,7,57,21,5,11,5,0,47,42
C Adam STO,31,20,1759,7,59,23,4,22,6,0,35,33
P Crouch STO,34,30,2643,7,61,26,6,8,7,0,38,46
P Odemwingie,30,26,2090,7,42,16,1,16,4,0,36,31
S Sidwell FUL,38,36,3233,7,48,16,2,35,5,0,64,41
M Skrtel LIV,36,36,3222,7,15,8,1,37,6,0,26,13
S Nasri MCY,34,29,2498,7,48,16,7,10,3,0,21,27
D Silva MCY,27,26,2173,7,54,13,9,9,5,0,23,42
F Borini SUN,32,25,2143,7,68,24,2,16,6,0,37,61
C Eriksen TOT,25,23,1983,7,50,23,8,6,3,0,9,14
K Nolan WHU,33,33,2694,7,50,20,5,22,7,2,44,19
D Gayle CP,23,8,882,7,28,10,0,2,1,0,9,17
J Puncheon CP,34,29,2515,7,77,32,2,17,2,0,21,16
S Long,30,26,2244,7,52,22,2,14,2,0,48,48
Y Cabaye NCU,19,17,1509,7,61,24,2,21,5,0,23,14
F Campbell CC,37,32,2773,6,60,20,2,14,4,0,41,60
N Dyer SWA,27,19,1750,6,36,12,2,7,1,0,10,42
J Shelvey SWA,32,29,2475,6,77,25,6,28,4,0,28,16
F Lampard CHE,26,20,1702,6,57,24,3,19,4,0,19,9
R Barkley EVE,34,25,2286,6,80,20,0,14,5,0,25,63
S Coleman EVE,36,36,3229,6,30,12,2,15,3,0,24,31
J Mata,28,25,2064,6,39,12,6,2,0,0,14,41
