Name,GP,GS,MP,G,S,SOT,A,YC,RC,FC,FS
C Immobile TOR,33,29,2587,22,97,45,3,9,1,61,43
L Toni VNA,34,34,3010,20,115,54,7,4,0,71,78
C Tévez JUV,34,30,2597,19,118,57,7,4,0,30,53
R Palacio INT,37,36,3169,17,91,46,7,3,0,29,51
G Higuaín NAP,32,28,2420,17,88,46,7,6,0,44,22
A Di Natale UDN,32,29,2405,17,116,53,0,1,0,7,17
D Berardi SAS,29,26,2180,16,91,35,6,10,1,54,85
G Rossi FIO,21,19,1527,16,65,34,4,1,0,13,30
F Llorente JUV,34,29,2497,16,56,34,5,3,0,70,36
J Callejón NAP,37,32,2848,15,60,34,6,6,0,27,53
A Gilardino GEN,36,34,2931,15,70,38,1,8,0,43,82
Paulinho LIC,35,35,3143,15,101,33,3,8,0,40,76
M Balotelli MIL,30,25,2293,14,148,55,6,9,1,72,95
G Denis ATA,37,36,3238,13,85,39,5,3,0,53,59
M Destro ROM,20,14,1235,13,37,23,1,5,0,20,10
A Paloschi CHV,34,29,2520,13,63,29,2,4,0,48,18
A Cerci TOR,37,35,3012,13,112,51,10,4,0,32,59
A Candreva LAZ,37,35,3080,12,115,38,6,2,1,20,74
A Cassano PMA,34,33,2675,12,65,30,6,5,0,29,75
Eder SMP,33,30,2509,12,93,36,5,7,1,42,59
J Cuadrado FIO,32,31,2700,11,82,32,6,8,1,39,116
A Vidal JUV,32,28,2441,11,52,21,5,8,0,70,36
D Mertens NAP,33,21,1911,11,87,44,6,4,0,33,40
G Bergessio CAT,30,28,2428,10,82,36,3,7,1,57,35
S Zaza SAS,33,24,2306,9,82,33,2,10,1,89,49
M Icardi INT,22,12,1307,9,39,12,2,1,0,15,18
Gervinho ROM,33,30,2728,9,69,39,10,2,0,13,34
Amauri PMA,31,20,1794,8,78,29,0,1,2,47,43
M Parolo PMA,36,36,3194,8,68,22,6,9,0,64,25
F Totti ROM,26,20,1671,8,63,24,10,3,0,26,52
J Iturbe VNA,33,29,2505,8,69,27,4,4,0,26,75
M Gabbiadini SMP,34,32,2728,8,114,43,4,6,0,46,62
A Floro Flores,31,18,1563,7,80,31,3,4,0,18,45
N Sansone,29,16,1633,7,58,24,6,2,0,17,30
P Pogba JUV,36,33,3066,7,69,29,8,4,0,78,59
M Klose LAZ,25,22,2016,7,44,17,2,2,0,36,34
S Lulic LAZ,30,28,2547,7,41,15,3,10,1,57,31
Kaká MIL,30,27,2407,7,68,23,4,2,0,31,46
M Hamsik NAP,28,23,1977,7,53,23,5,2,0,22,15
Jorginho,33,30,2729,7,21,12,4,7,0,34,54
G Pandev NAP,29,17,1388,7,26,16,4,3,0,21,43
C Thereau CHV,32,28,2368,7,58,22,2,2,0,38,24
M Pinilla CAG,26,16,1598,7,57,22,3,9,1,38,50
A Aquilani FIO,31,31,2599,6,57,16,1,7,0,52,41
B Valero Navarro FIO,32,31,2751,6,62,23,9,4,1,18,42
B Dzemaili NAP,24,18,1551,6,37,17,3,4,0,23,24
J Biabiany PMA,36,32,2743,6,48,14,5,0,0,27,36
A Florenzi ROM,37,23,1896,6,45,16,7,4,0,13,21
A Ljajic ROM,28,17,1623,6,50,28,5,5,0,6,28
M Pjanic ROM,35,32,2699,6,65,24,6,7,1,51,48
